	SZA
231	1.01338110593
232	1.30073835157
233	1.58635595511
234	-1.58422085316
235	-1.26626172142
236	-0.858711021358
237	-0.541700785316
238	-0.332943732896
239	-0.201600754082
240	-0.205238187571
241	-0.346939944365
242	-0.561785744147
243	-0.890103653862
244	-1.2899050391
245	-1.6006683785
246	1.57180622115
247	1.28816548364
248	0.999305819818
249	0.7462669684
250	0.565897712124
251	0.393435919955
252	0.39675705488
253	0.575465743693
254	0.763505240153
255	1.01092979206
256	1.2982870377
257	1.58398371588
258	-1.58627679382
259	-1.26918748314
260	-0.862348454847
261	-0.543598576702
262	-0.334208927153
263	-0.202312425852
264	-0.204526515802
265	-0.345674750108
266	-0.560204251326
267	-0.887652339989
268	-1.28848169556
269	-1.59964040817
270	1.57275511684
271	1.28721658795
272	0.998198774843
273	0.744131953091
274	0.562971950405
275	0.389086814696
276	0.391459053928
277	0.569772369536
278	0.757021119586
279	1.00863662746
280	1.29583572382
281	1.581532402
282	-1.58849088377
283	-1.27171787166
284	-0.865985888336
285	-0.545575442728
286	-0.335157822846
287	-0.202865948339
288	-0.20515911293
289	-0.344725854415
290	-0.55901813171
291	-0.885912697885
292	-1.28690020274
293	-1.59829613927
294	1.57394123646
295	1.28610954297
296	0.996933580586
297	0.741522489936
298	0.559492666198
299	0.384342336232
300	0.386081978335
301	0.563841771456
302	0.748955506197
303	1.00602716431
304	1.29322626067
305	1.57900201349
306	-1.59086312301
307	-1.27472270802
308	-0.869781471107
309	-0.547315084832
310	-0.336581166385
311	-0.203577620109
312	-0.206108008623
313	-0.343539734799
314	-0.557436638889
315	-0.883935831858
316	-1.28539778456
317	-1.59750539286
318	1.57409938574
319	1.28516064728
320	0.995352087765
321	0.738913026781
322	0.556171531273
323	0.379597857768
324	0.380388604178
325	0.558069322658
326	0.74255046027
327	0.999780267664
328	1.29061679751
329	1.57662977426
330	-1.59283998903
331	-1.27780661902
332	-0.873339829955
333	-0.549212876217
334	-0.337609136719
335	-0.204131142596
336	-0.207056904316
337	-0.342353615183
338	-0.55609236999
339	-0.882275264396
340	-1.28429073959
341	-1.59647742252
342	1.57307141541
343	1.28389545302
344	0.994007818866
345	0.736066339703
346	0.552534097784
347	0.374774304663
348	0.374695230022
349	0.552455023143
350	0.735987265061
351	0.993928744225
352	1.28381637838
353	1.57322956469
354	-1.59608204932
355	-1.28389536638
356	-0.881958965832
357	-0.555934220708
358	-0.342511764466
359	-0.208559322496
360	-0.207926725368
361	-0.341404719491
362	-0.555143474298
363	-0.880772846216
364	-1.28270924676
365	-1.59521222827
366	1.57204344507
367	1.28263025876
368	0.992426326045
369	0.732824279419
370	0.548738515012
371	0.369555378352
372	0.3686855573
373	0.546208126498
374	0.728870547365
375	0.98910519112
376	1.27764855638
377	1.56532210058
378	-1.60359414022
379	-1.29045856159
380	-0.88852216104
381	-0.560046102044
382	-0.346228272596
383	-0.211643233498
384	-0.209033770343
385	-0.340455823798
386	-0.553641056117
387	-0.879191353394
388	-1.28183942571
389	-1.59497500434
390	1.57101547474
391	1.28120691523
392	0.990607609301
393	0.729582219135
394	0.544310335113
395	0.364573675965
396	0.362913108502
397	0.540593826982
398	0.721516605746
399	0.984518861938
400	1.27266685399
401	1.5603403982
402	-1.60802232012
403	-1.29607286111
404	-0.894136460556
405	-0.563762610174
406	-0.349154034315
407	-0.214094547371
408	-0.209982666036
409	-0.339427853464
410	-0.552534011142
411	-0.877609860573
412	-1.28073238074
413	-1.59568667611
414	1.56990842977
415	1.27970449705
416	0.988709817915
417	0.725786636364
418	0.540514752341
419	0.35903845109
420	0.356428987935
421	0.534267855697
422	0.710050782791
423	0.980090682039
424	1.2509213277
425	1.55567499437
426	-1.61197605217
427	-1.30137086206
428	-0.900146133277
429	-0.567083745099
430	-0.351605348188
431	-0.216308637321
432	-0.211168785652
433	-0.338478957771
434	-0.551506040808
435	-0.876581890239
436	-1.27978348505
437	-1.59679372109
438	1.56895953407
439	1.27828115351
440	0.986970175811
441	0.721279381823
442	0.536086572441
443	0.353266002292
444	0.350340240573
445	0.528020959053
446	0.706413349302
447	0.976057875344
448	1.24665129708
449	1.55132588911
450	-1.61577163494
451	-1.30690608693
452	-0.905602283511
453	-0.570325805383
454	-0.354372960626
455	-0.218364577989
456	-0.212275830627
457	-0.338241733848
458	-0.550715294398
459	-0.875632994546
460	-1.27994163433
461	-1.59782169142
462	1.56753619053
463	1.2765415114
464	0.985072384426
465	0.715586007666
466	0.53150024326
467	0.347414478853
468	0.3434607468
469	0.521536838485
470	0.702696841172
471	0.971945994009
472	1.24230219182
473	1.54729308242
474	-1.61925091915
475	-1.31386465535
476	-0.911374732309
477	-0.573014343179
478	-0.356745199858
479	-0.220183294733
480	-0.213541024884
481	-0.339190629541
482	-0.549608249423
483	-0.875000397418
484	-1.28089053002
485	-1.5989287364
486	1.56603377235
487	1.2748018693
488	0.982937369117
489	0.70926003638
490	0.526755764795
491	0.34124665685
492	0.336502178386
493	0.514815493994
494	0.699375706247
495	0.967834112673
496	1.2380321612
497	1.54341842501
498	-1.62296742728
499	-1.31884635773
500	-0.917068106466
501	-0.57601917954
502	-0.358959289808
503	-0.22216016076
504	-0.214885293782
505	-0.340218599875
506	-0.549687324064
507	-0.875553919905
508	-1.28207664964
509	-1.60003578137
510	1.56468950345
511	1.27298315255
512	0.981118652372
513	0.707125021072
514	0.52193221169
515	0.334446237718
516	0.328831938202
517	0.506512656682
518	0.695738272758
519	0.963801305979
520	1.23384120523
521	1.53946469295
522	-1.62628856221
523	-1.32177211945
524	-0.923156853828
525	-0.579261239823
526	-0.361410603681
527	-0.223978877505
528	-0.216071413398
529	-0.341088420926
530	-0.550794369039
531	-0.876423740957
532	-1.28310461997
533	-1.60122190099
534	1.56310801063
535	1.27124351045
536	0.978667338499
537	0.70475278184
538	0.516792360021
539	0.327329520022
540	0.320291876967
541	0.480813398335
542	0.692496212474
543	0.959610350002
544	1.22988747317
545	1.53574818482
546	-1.62953062249
547	-1.32461880653
548	-0.929482825114
549	-0.581554404414
550	-0.363466544349
551	-0.225797594249
552	-0.217415682296
553	-0.342195465901
554	-0.551664190091
555	-0.877451711291
556	-1.28468611279
557	-1.6024080206
558	1.56152651781
559	1.25210744731
