	SZA
212	132.6477946862065
213	146.12610570771977
214	159.64140510350217
215	172.73809341017943
216	171.84409315977922
217	158.65245056716455
218	145.13152168667082
219	131.65661185658158
220	118.33262315525918
221	105.25891315372141
222	92.56972424726
223	80.46813690084227
224	69.28361832199822
225	59.547798477568335
226	52.0919619984281
227	47.9990808839023
228	48.138799212095044
229	52.47735261721126
230	60.10921151770099
231	69.95916757308694
232	81.21622591499559
233	93.36491405915334
234	106.0854926347675
235	119.18051701151519
236	132.51851184587525
237	146.0002205721222
238	159.51354336031395
239	172.58175386008458
240	171.85783265319498
241	158.70645292062372
242	145.18729943524303
243	131.70721749379697
244	118.37467750229541
245	105.28955326511961
246	92.5856875180005
247	80.4652043920149
248	69.25616752570212
249	59.48880784051646
250	51.99473344001563
251	47.86250947228638
252	47.97301946715275
253	52.299435726755746
254	59.932487002940285
255	69.78993055637247
256	81.05630352837856
257	93.21414915922463
258	105.94306561414368
259	119.04531035373124
260	132.38908681624295
261	145.87422935762072
262	159.38514504215624
263	172.42260956198226
264	171.8625800933429
265	158.7554231705838
266	145.23870476186784
267	131.7535334515235
268	118.41231439018591
269	105.31553046723941
270	92.59665271270319
271	80.45685736362827
272	69.22280804698859
273	59.423371635737276
274	51.89059334041038
275	47.71890294276314
276	47.8007422085455
277	52.11616457637213
278	59.75172440969763
279	69.61782148212657
280	80.89443948139413
281	93.06215166784109
282	105.79994132755941
283	118.90978991454996
284	132.25957594131785
285	145.74816067132832
286	159.25619233740576
287	172.26058868811992
288	171.85795122304583
289	158.79914370918294
290	145.2855888354429
291	131.79544729850943
292	118.44544727656921
293	105.33678018714443
294	92.60257604969848
295	80.44307639952095
296	69.1835409675753
297	59.35151062331528
298	51.779580719016934
299	47.56831698464923
300	47.62204305239718
301	51.927637591473065
302	59.56703680897833
303	69.44295577911166
304	80.7307449940183
305	92.90902378072784
306	105.65620904258262
307	118.77402895667251
308	132.13003212467623
309	145.62203885771535
310	159.1266623597257
311	172.09561706302728
312	171.84358744555703
313	158.83739834207563
314	145.3278047663419
315	131.83284920942177
316	118.47399271482175
317	105.3532413061991
318	92.60341745187624
319	80.42383064079078
320	69.1383593336853
321	59.27324142679046
322	51.66173198310836
323	47.41080363028642
324	47.43699456254308
325	51.733950678444735
326	59.378535874918285
327	69.26544951378307
328	80.56531666864154
329	92.7548665135489
330	105.51195604040001
331	118.63809802083406
332	132.00050483356335
333	145.49588407911128
334	158.9965274028672
335	171.9276190968116
336	171.8191605007563
337	158.86997310675622
338	145.36520798087892
339	131.86563219664617
340	118.49787050951562
341	105.36485626328398
342	92.5991406090865
343	80.39910794616
344	69.08727980560676
345	59.18860082925195
346	51.53709848080413
347	47.246429708063715
348	47.24568306754283
349	51.535211207003144
350	59.18634081843665
351	69.08542078104298
352	80.39827892590299
353	92.59977960644754
354	105.36726754394813
355	118.50206488763118
356	131.87104010818314
357	145.36971240080666
358	158.8657551972941
359	171.75651863938617
360	171.78437672368838
361	158.89665711516375
362	145.3976565993861
363	131.8936923400321
364	118.51700386788947
365	105.37157115314386
366	92.58971303562224
367	80.36891156229402
368	69.03030952491054
369	59.09761324144926
370	51.40572444555106
371	47.07525470348985
372	47.048187796080974
373	51.33152223264975
374	58.99056956297805
375	68.9029916358232
376	80.22974769279712
377	92.44386143135178
378	105.2222266499764
379	118.36599454407421
380	131.7416805759649
381	145.24353588099532
382	158.7343091687943
383	171.58223976003228
384	171.73898073808667
385	158.9172434147178
386	145.4250118159492
387	131.91692901354364
